Rank                                           Won  Lost  Tied    PF    PA   Rating
 125 Mills Godwin                                7     4     0   228   212   55.017
 126 Dominion                                    7     5     0   239   241   54.979
 127 Woodside                                    6     5     0   353   279   54.961
 128 Maury                                       8     4     0   342   247   54.903
 129 Rustburg                                    6     5     0   286   264   54.889
 130 St. Albans, DC                              1     1     0    63    51   54.815
 131 Handley                                     7     4     0   402   334   54.734
 132 Osbourn                                     2     8     0    81   201   54.520
 133 Churchland                                  8     3     0   268   218   54.501
 134 Riverheads                                 12     2     0   579   249   54.400
 135 Mount Airy, NC                              1     0     0    34    15   54.333
 136 Johnson County, TN                          1     0     0    26    10   54.271
 137 Dan River                                   9     3     0   368   195   54.231
 138 Goochland                                  10     3     0   558   299   54.181
 139 Liberty(Bed)                                7     4     0   401   284   54.149
 140 Kent, MD                                    1     0     0    41     0   53.964
 141 Wilson Memorial                            10     2     0   380   217   53.945
 142 Landon, MD                                  1     2     0    72    96   53.889
 143 Central(W)                                 10     3     0   510   248   53.832
 144 Mount Vernon                                3     8     0   254   347   53.778
 145 Franklin County                             4     6     0   251   254   53.679
 146 Loudoun County                              5     6     0   196   238   53.540
 147 James River(C)                              6     4     0   243   204   53.482
 148 Potomac School                              8     3     0   342   228   53.408
 149 Matoaca                                     5     5     0   278   292   53.405
 150 Washington, WV                              1     2     0   112    66   53.309
 151 West Springfield                            3     7     0   130   346   53.272
 152 Kecoughtan                                  5     5     0   210   206   53.224
 153 Gretna                                      7     4     0   359   226   53.183
 154 Musselman, WV                               0     1     0    13    40   53.172
 155 Herndon                                     1     9     0   229   370   52.977
 156 Paul VI                                     3     7     0   187   249   52.930
 157 Buckingham County                          10     4     0   511   290   52.886
 158 Haysi                                      13     1     0   586   185   52.847
 159 R.E. Lee(Sp)                                2     9     0   263   515   52.842
 160 Appomattox                                  7     5     0   387   207   52.790
 161 R.E. Lee(St)                                8     4     0   328   223   52.713
 162 Thomas Jefferson(A)                         4     7     0   187   324   52.664
 163 Stafford                                    1     9     0   109   327   52.469
 164 Cave Spring                                 5     6     0   195   344   52.443
 165 Edison                                      3     8     0   312   387   52.344
 166 Central Virginia Homeschool                 1     0     0    26    18   52.308
 167 Bishop Ireton                               4     6     0   159   281   52.266
 168 Fort Chiswell                              12     2     0   555   234   52.205
 169 Powhatan                                    6     5     0   342   232   52.113
 170 Kellam                                      4     7     0   184   285   52.070
 171 Tabb                                        7     4     0   304   275   51.974
 172 Hopewell                                    6     6     0   301   334   51.958
 173 Richlands                                   9     4     0   377   344   51.937
 174 Norfolk Academy                             7     3     0   314   208   51.673
 175 Greenbrier East, WV                         1     0     0    55    49   51.629
 176 Monacan                                     5     6     0   239   315   51.595
 177 Great Bridge                                5     6     0   307   279   51.583
 178 Glen Allen                                  4     7     0   166   352   51.566
 179 Nansemond-Suffolk                           8     3     0   487   183   51.367
 180 Pulaski County                              4     7     0   172   216   51.350
 181 Union                                       9     3     0   357   252   51.125
 182 Brookville                                  5     6     0   230   314   51.078
 183 Amherst County                              3     8     0   292   380   51.045
 184 Blacksburg                                  4     6     0   207   218   50.966
 185 Bruton                                      8     4     0   302   244   50.751
 186 Potomac Falls                               4     7     0   144   348   50.666
 187 Poquoson                                    8     4     0   355   266   50.637
 188 Central(L)                                 10     3     0   491   298   50.601
 189 Fauquier                                    5     6     0   233   225   50.571
 190 Archbishop Carroll, DC                      0     1     0     6    42   50.544
 191 J.M. Bennett, MD                            1     0     0    38     7   50.485
 192 Hedgesville, WV                             1     0     0    37    21   50.362
 193 Gate City                                   8     5     0   364   381   50.326
 194 Virginia Episcopal                          9     1     0   320   183   50.235
 195 St. Frances Academy, MD                     1     0     0    42     0   50.212
 196 E.C. Glass                                  4     7     0   297   293   50.173
 197 Tunstall                                    5     6     0   305   255   50.168
 198 Granby                                      4     6     0   144   249   50.145
 199 Franklin                                   11     2     0   531   236   50.090
 200 Fork Union                                  1     8     0   200   405   50.073
 201 First Colonial                              3     7     0   145   261   50.009
 202 Gar-Field                                   0    10     0    62   267   49.965
 203 Annandale                                   1     9     0   154   360   49.898
 204 First Flight, NC                            0     1     0    41    62   49.885
 205 Nansemond River                             4     7     0   234   331   49.878
 206 Caroline                                    4     7     0   257   341   49.848
 207 Henrico                                     3     7     0   140   246   49.737
 208 Sullivan Central, TN                        1     0     0    41    20   49.674
 209 Landstown                                   3     7     0   114   308   49.482
 210 Prince George                               4     6     0   265   223   49.449
 211 Jefferson County, WV                        1     1     0    30    60   49.344
 212 Charlottesville                             4     7     0   286   313   49.328
 213 James Madison                               1     9     0   162   367   49.090
 214 Galax                                       7     5     0   490   297   49.077
 215 Norview                                     5     6     0   208   204   49.022
 216 Alleghany                                   4     6     0   208   254   49.014
 217 Graham                                      6     5     0   360   304   48.917
 218 Petersburg                                  3     8     0   264   351   48.831
 219 Warren County                               8     4     0   306   265   48.803
 220 Sullivan North, TN                          1     1     0    44    39   48.781
 221 Heritage(Le)                                3     7     0   158   263   48.639
 222 Jefferson Forest                            4     6     0   298   311   48.634
 223 Happy Valley, TN                            1     0     0    28    26   48.625
 224 Chatham                                     6     4     0   346   244   48.571
 225 Stuarts Draft                               7     4     0   273   216   48.498
 226 Culpeper County                             4     6     0   203   247   48.487
 227 J.R. Tucker                                 4     6     0   260   295   48.469
 228 Pope John Paul the Great                    7     3     0   359   169   48.419
 229 East Rockingham                             7     4     0   288   231   48.387
 230 Honaker                                    10     2     0   421   169   48.245
 231 Kempsville                                  2     9     0   128   312   48.220
 232 Armstrong                                   3     8     0   228   332   47.948
 233 Wakefield                                   3     7     0   178   357   47.935
 234 Blessed Sacrament-Huguenot                 11     1     0   454   165   47.911
 235 Covington                                   9     4     0   367   254   47.779
 236 Louisa County                               3     7     0   166   261   47.731
 237 York                                        4     7     0   156   187   47.716
 238 Jamestown                                   4     7     0   188   319   47.703
 239 Fort Defiance                               5     5     0   238   267   47.463
 240 Deep Run                                    3     7     0   223   349   47.410
 241 Virginia                                    6     6     0   374   357   47.374
 242 Nottoway                                    6     6     0   248   314   47.226
 243 North Cross                                 8     3     0   350   250   47.213
 244 Weldon, NC                                  1     0     0    30     0   47.125
 245 Atlantic Shores Christian                   7     3     0   381   130   47.084
 246 King William                                8     3     0   461   201   47.061
 247 J.E.B. Stuart                               2     8     0   130   312   46.983
 248 Orange                                      2     8     0   195   406   46.925
 249 St. Stephen's & St. Agnes                   0     9     0   109   338   46.802
 250 George Mason                                6     5     0   253   257   46.728
 251 Gloucester                                  2     8     0   193   326   46.510
 252 William Fleming                             3     7     0   179   265   46.503
 253 St. Anne's-Belfield                         5     5     0   211   240   46.494
 254 James River(B)                              5     6     0   279   367   46.494
 255 Thomasville, NC                             0     1     0    17    21   46.377
 256 Parry McCluer                               8     4     0   365   260   46.360
 257 Washington & Lee                            7     5     0   304   169   46.342
 258 Clintwood                                   8     3     0   423   164   46.323
 259 Smithfield                                  4     6     0   214   269   46.223
 260 John Battle                                 6     5     0   278   251   45.953
 261 Grafton                                     3     7     0   127   199   45.935
 262 Glenvar                                     5     6     0   289   328   45.854
 263 Radford                                     6     6     0   244   281   45.785
 264 Patrick Henry(A)                            2     8     0   176   330   45.686
 265 Fredericksburg Christian                    6     4     0   263   192   45.600
 266 Turner Ashby                                3     7     0   297   352   45.509
 267 Chancellor                                  1     9     0   123   269   45.384
 268 Amelia County                               5     6     0   310   315   45.375
 269 Trinity Episcopal                           3     7     0   284   354   45.357
 270 Harrisonburg                                2     8     0   247   359   45.353
 271 Park View(St)                               2     8     0    57   206   45.322
 272 Clover Hill                                 3     7     0   170   243   45.309
 273 Carroll County                              2     8     0   262   403   44.957
 274 Avalon, MD                                  0     1     0    12    24   44.918
 275 Booker T. Washington                        2     7     0   152   293   44.833
 276 Person County, NC                           1     1     0    33    47   44.789
 277 Thomas Jefferson(R)                         3     8     0   203   297   44.561
 278 Deep Creek                                  2     8     0   134   356   44.557
 279 Randolph-Henry                              5     5     0   277   401   44.553
 280 Skyline                                     4     7     0   146   355   44.547
 281 Lee                                         5     6     0   282   261   44.503
 282 Maret, DC                                   0     2     0    28    78   44.441
 283 Marion                                      6     5     0   356   236   44.372
 284 Grayson                                     5     6     0   323   306   44.250
 285 Warhill                                     2     8     0   198   339   44.247
 286 Martinsville                                3     7     0   218   311   44.241
 287 St. James, MD                               0     2     0    27    84   44.131
 288 Spotsylvania                                3     8     0   138   378   44.069
 289 Rappahannock                                8     4     0   336   207   43.978
 290 John Champe                                 2     8     0    35   250   43.958
 291 Luray                                       5     6     0   254   303   43.957
 292 Rockbridge County                           2     8     0   135   323   43.940
 293 Hickory                                     2     8     0   113   324   43.844
 294 Park View(SH)                               7     4     0   384   288   43.755
 295 Chilhowie                                   7     4     0   347   268   43.681
 296 Staunton River                              2     8     0   161   358   43.657
 297 Freedom(LC)                                 1     9     0   117   384   43.654
 298 William Monroe                              3     8     0   227   390   43.570
 299 Shelby Valley, KY                           2     0     0    92    40   43.554
 300 Abingdon                                    4     6     0   233   294   43.487
 301 Broadway                                    3     7     0   195   226   43.444
 302 Princess Anne                               0    10     0   103   311   43.369
 303 Strasburg                                   3     7     0   204   197   43.352
 304 New Kent                                    2     8     0   119   339   43.328
 305 Madison County                              3     8     0   178   335   43.278
 306 Lakeland                                    1     9     0   116   288   43.228
 307 Coolidge, DC                                0     1     0     0    49   43.082
 308 Eastern Shore HomeSchool, DE                1     0     0    45     7   43.021
 309 Lebanon                                     5     5     0   245   261   42.967
 310 Sidwell Friends, DC                         2     2     1   151   132   42.932
 311 Sussex Central                              7     5     0   414   282   42.866
 312 J.I. Burton                                 8     5     0   341   273   42.724
 313 George Wythe(W)                             6     5     0   301   294   42.708
 314 Fluvanna                                    1     9     0   147   346   42.678
 315 Auburn                                      7     5     0   331   213   42.546
 316 Millbrook                                   2     8     0    99   261   42.529
 317 Surry                                       7     4     0   267   213   42.472
 318 Waynesboro                                  1     9     0   197   413   42.245
 319 Fishburne Military                          9     1     0   327   214   42.223
 320 West Point                                  8     3     0   450   205   42.201
 321 East Hardy, WV                              2     0     0    85    46   42.128
 322 Broadwater Academy                          8     2     0   375   152   42.079
 323 Bassett                                     3     7     0   215   343   42.055
 324 Indian River                                1     9     0   123   370   41.879
 325 Blue Ridge                                  3     6     0   209   297   41.574
 326 Bartlett Yancey, NC                         0     2     0    42    91   41.573
 327 Summers County, WV                          0     1     0    16    23   41.128
 328 Holston                                     7     4     0   359   295   41.094
 329 Menchville                                  1     9     0    32   440   40.976
