Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 SALEM                                       4     0     0    71    15  130.405
   2 CHANTILLY                                   4     0     0    77    21  124.005
   3 SHERANDO                                    3     1     0   119    72  123.332
   4 HAMPTON                                    14     0     0   809    97  123.254
   5 APPALACHIA                                  4     0     0   162    22  122.048
   6 GRUNDY                                      2     1     0    64    15  121.756
   7 NORTHSIDE                                   0     1     0     0    17  117.073
   8 LOUDOUN COUNTY                              1     1     0    49    32  116.303
   9 KECOUGHTAN                                  2     2     0    65    38  115.841
  10 GEORGE WASHINGTON                           3     1     0    91    17  115.626
  11 WESTERN ALBEMARLE                           0     1     0    26    45  115.173
  12 NORCOM                                      2     1     0    58    63  114.896
  13 POWHATAN                                    4     0     0   103    51  114.540
  14 HERNDON                                     0     1     0     6    17  114.291
  15 WESTERN BRANCH                              2     0     0    82    26  114.264
  16 STAUNTON RIVER                              1     1     0    47    34  114.143
  17 YORK                                        2     1     0    75    77  112.610
  18 SURRY COUNTY                                3     1     0    61    66  110.613
  19 PATRICK HENRY(A)                            3     1     0   157    94  109.047
  20 RANDOLPH-HENRY                              1     1     0    33    22  107.990
  21 INDIAN RIVER                                2     1     0    63    39  107.645
  22 NORVIEW                                     0     1     0    12    20  107.208
  23 PHOEBUS                                     0     1     0    12    61  107.170
  24 NORTHUMBERLAND                              2     1     0    73    57  107.110
  25 THOMAS DALE                                 2     1     0    78    29  107.009
  26 CARROLL COUNTY                              0     1     0     0    22  105.994
  27 ABINGDON                                    1     1     0    46    73  105.787
  28 SOUTHAMPTON                                 1     1     0    49    35  105.645
  29 CHARLOTTESVILLE                             0     1     0    12    35  105.138
  30 GILES                                       3     1     0    87    55  105.051
  31 THOMAS WALKER                               1     1     0    14    48  105.023
  32 LAKELAND                                    3     1     0    92    53  105.022
  33 STONEWALL JACKSON(Q)                        2     1     0    61    23  104.909
  34 JAMES MADISON                               2     1     0    75   107  104.757
  35 BETHEL                                      1     2     0    26    65  104.733
  36 MADISON COUNTY                              0     1     0    22    51  104.660
  37 KING & QUEEN                                0     1     0    12    14  104.630
  38 GREEN RUN                                   1     0     0    14     7  104.268
  39 JAMES ROBINSON                              1     1     0    19    44  104.029
  40 SPOTSYLVANIA                                1     1     0    30    34  103.766
  41 J.I. BURTON                                 0     1     0     0    28  103.287
  42 WASHINGTON & LEE                            0     1     0     9    12  100.683
  43 DEEP CREEK                                  0     2     0    34    82  100.434
  44 JAMES MONROE                                4     0     0    83    40   99.546
  45 LEE                                         0     1     0    31    38   99.437
  46 WOODBRIDGE                                  1     1     0    24    41   98.985
  47 LUNENBURG CENTRAL                           0     1     0    12    26   98.848
  48 MILLS GODWIN                                1     1     0    49    28   98.842
  49 KING WILLIAM                                1     1     0    52    68   98.736
  50 HOPEWELL                                    0     1     0    24    61   98.523
  51 BROOKE POINT                                2     1     0    83    72   98.293
  52 WILSON                                      0     1     0     7    42   97.986
  53 LAKE BRADDOCK                               0     1     0    16    19   97.893
  54 ERVINTON                                    0     1     0     0     6   97.226
  55 WEST POTOMAC                                0     1     0    21    33   97.163
  56 POWELL VALLEY                               2     1     0    88    39   97.009
  57 LORD BOTETOURT                              0     1     0     7    44   97.001
  58 CHARLES CITY COUNTY                         1     1     0    33    24   96.813
  59 KEMPSVILLE                                  0     2     0    21    40   96.263
  60 CHILHOWIE                                   1     1     0    49    37   96.228
  61 TALLWOOD                                    0     1     0     0    30   95.467
  62 RURAL RETREAT                               2     1     0    55    54   95.352
  63 STRASBURG                                   1     1     0    40    34   95.069
  64 NANSEMOND RIVER                             0     2     0     6    35   94.823
  65 GREENSVILLE                                 0     1     0     6    16   94.435
  66 PATRICK HENRY(GS)                           0     1     0    13    35   94.423
  67 MCLEAN                                      1     1     0    27    42   94.011
  68 HARRISONBURG                                2     1     0    56    38   93.157
  69 L.C. BIRD                                   0     1     0    15    64   92.491
  70 ESSEX                                       0     1     0    21    26   92.398
  71 CULPEPER                                    0     1     0    24    28   92.206
  72 BRUTON                                      1     2     0    64    64   92.013
  73 BROOKVILLE                                  3     1     0    65    41   91.858
  74 OSCAR SMITH                                 1     1     0    13    28   91.548
  75 C.D. HYLTON                                 0     1     0    13    21   91.410
  76 HICKORY                                     1     1     0    14    44   89.846
  77 CLINTWOOD                                   0     1     0     7    14   88.966
  78 LEE-DAVIS                                   1     1     0    32    55   88.672
  79 NOTTOWAY                                    0     1     0    12    38   87.894
  80 MOUNT VERNON                                0     1     0    14    17   87.806
  81 VARINA                                      0     1     0    14    42   87.301
  82 BRENTSVILLE                                 0     1     0     0    26   87.264
  83 PULASKI COUNTY                              1     1     0    34    59   86.665
  84 JOHN HANDLEY                                0     1     0    21    28   86.479
  85 GATE CITY                                   2     1     0    77    20   86.432
  86 WILSON MEMORIAL                             0     1     0    13    32   85.027
  87 GREAT BRIDGE                                0     1     0     6     7   84.061
  88 HURLEY                                      1     1     0    36    73   83.754
  89 APPOMATTOX                                  0     1     0    14    27   83.328
  90 GRANBY                                      0     1     0     6    13   83.310
  91 STUARTS DRAFT                               1     1     0    61    74   82.920
  92 POCAHONTAS                                  0     1     0     8    33   82.397
  93 GRAYSON COUNTY                              0     1     0     7    34   82.138
  94 RAPPAHANNOCK                                0     1     0     6    33   82.085
  95 JEFFERSON FOREST                            1     1     0    32    39   81.091
  96 STONEWALL JACKSON(M)                        0     1     0    17    20   80.573
  97 BLAND/ROCKY GAP                             1     1     0    14    29   80.285
  98 DENBIGH                                     0     1     0     7    74   79.297
  99 FORT DEFIANCE                               0     1     0    53    54   77.489
 100 ATLEE                                       0     1     0     7    26   76.759
 101 NORTHAMPTON                                 0     1     0     8    43   76.550
 102 MAGNA VISTA                                 1     1     0    29    21   76.222
 103 HAYSI                                       0     1     0     6    18   73.745
 104 WILLIAM CAMPBELL                            0     1     0    14    24   73.227
 105 PARRY MCCLUER                               0     1     0     7    14   72.281
 106 MARTINSVILLE                                0     1     0     0    22   60.823
 107 WARWICK                                     0     1     0     0    49   52.969
 108 BASSETT                                     0     1     0     0    44   49.734
 109 GAR-FIELD                                   0     1     0     0    49   49.030
 110 GLOUCESTER                                  0     1     0     0    62   26.406
 111 LAFAYETTE                                   0     1     0     0    62   26.406
 112 HERITAGE(NN)                                0     1     0     0    67   19.368
 113 MENCHVILLE                                  0     1     0     0    71   14.590
 114 WOODSIDE                                    0     1     0     0    83    3.557
