Rank                                           Won  Lost  Tied    PF    PA   Rating
 112 UNION                                       6     1     0   285   105  110.134
 113 COX                                         6     1     0   143    57  109.986
 114 MOUNT VERNON                                4     3     0   231   199  109.840
 115 ABINGDON                                    6     1     0   319   135  109.726
 116 TENNESSEE, TN                               1     0     0    24     7  109.667
 117 SALEM(VB)                                   6     1     0   198    52  109.653
 118 CHANTILLY                                   4     3     0   175   160  109.619
 119 JEFFERSON FOREST                            2     5     0   197   214  109.421
 120 NORTH STAFFORD                              5     2     0   229   187  109.354
 121 ANNANDALE                                   3     4     0   157   215  109.322
 122 GLOUCESTER                                  4     4     0   197   199  109.235
 123 PRINCE GEORGE                               3     4     0   183   211  109.124
 124 FREEDOM(PW)                                 5     2     0   237   145  109.058
 125 GALAX                                       5     2     0   216   136  108.983
 126 BETHEL                                      3     4     0   152   172  108.983
 127 GRAFTON                                     6     1     0   233   138  108.950
 128 BULLIS, MD                                  1     2     0    57    69  108.946
 129 HUGUENOT                                    2     5     0   140   291  108.946
 130 SULLIVAN SOUTH, TN                          1     0     0    41    37  108.923
 131 SUSSEX CENTRAL                              7     0     0   248    54  108.868
 132 GEORGE WASHINGTON                           5     2     0   231   185  108.849
 133 HARRISONBURG                                4     3     0   189   152  108.785
 134 GEORGE WYTHE(W)                             6     1     0   320   110  108.779
 135 LOUDOUN VALLEY                              5     2     0   225   146  108.679
 136 PULASKI COUNTY                              5     2     0   248    87  108.638
 137 BLUEFIELD, WV                               1     2     0    90   137  108.583
 138 GOOCHLAND                                   8     0     0   291    47  108.491
 139 SMITHFIELD                                  5     2     0   221   129  108.362
 140 COURTLAND                                   3     4     0   140   151  108.247
 141 MIDLOTHIAN                                  1     6     0   107   244  108.240
 142 BRENTSVILLE DISTRICT                        6     1     0   275   141  108.203
 143 SPOTSWOOD                                   5     3     0   197   149  108.158
 144 WESTERN ALBEMARLE                           3     4     0   163   203  108.120
 145 PETERSBURG                                  2     5     0   102   152  108.051
 146 NANSEMOND RIVER                             4     3     0   155   128  108.046
 147 SEVERN, MD                                  1     0     0    18    14  108.026
 148 HANOVER                                     1     6     0    72   268  107.877
 149 CAMBRIDGE, MD                               1     0     0    72    14  107.759
 150 BATTLEFIELD                                 6     2     0   239   145  107.685
 151 WEST SPRINGFIELD                            1     6     0   168   260  107.653
 152 KING'S FORK                                 3     4     0   221   237  107.574
 153 WARWICK                                     4     4     0   137   127  107.416
 154 C.D. HYLTON                                 5     3     0   288   117  107.408
 155 HIDDEN VALLEY                               3     4     0   242   242  107.344
 156 WASHINGTON-LEE                              3     4     0   204   255  107.331
 157 PARRY MCCLUER                               6     1     0   277    78  107.170
 158 LIBERTY(BED)                                3     4     0   173   226  107.066
 159 HERITAGE(LEE)                               5     2     0   187   134  106.993
 160 VAN, WV                                     1     0     0    34    12  106.948
 161 EAST ROCKINGHAM                             4     3     0   242   181  106.894
 162 AVALON, MD                                  0     1     0    14    40  106.711
 163 NORCOM                                      3     3     0    94   179  106.642
 164 TALLWOOD                                    6     2     0   153   124  106.637
 165 LIBERTY(BEAL)                               3     4     0   150   181  106.079
 166 CLARKE COUNTY                               5     2     0   276    97  106.015
 167 JEFFERSON, WV                               1     2     0    74    95  105.966
 168 GLEN ALLEN                                  1     6     0   129   244  105.764
 169 LANGLEY                                     1     6     0   154   234  105.706
 170 J.R. TUCKER                                 0     7     0    93   217  105.580
 171 ALTAVISTA                                   5     2     0   204   109  105.521
 172 DEEP CREEK                                  2     5     0   117   143  105.378
 173 WILLIAM FLEMING                             2     5     0   131   209  105.244
