Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 GOOD COUNSEL, MD                            1     0     0    55     0  185.289
   2 DELMAR, DE                                  1     0     0    48     0  155.787
   3 GONZAGA, DC                                 1     0     0    38     0  140.264
   4 MANCHESTER                                 15     0     0   819    70  135.419
   5 HIGHLAND SPRINGS                           15     0     0   743   105  130.107
   6 PEDDIE, NJ                                  1     0     0    42     7  126.998
   7 ST. FRANCES, MD                             1     0     0    51     6  126.389
   8 FRIENDSHIP-EDISON, DC                       1     0     0    20     7  125.508
   9 COLONIAL FORGE                             11     1     0   409   118  125.499
  10 BROAD RUN                                  12     1     0   431   123  125.232
  11 STONE BRIDGE                               12     3     0   654   203  124.375
  12 WESTFIELD                                  13     1     0   496   150  124.254
  13 GEORGETOWN PREP, MD                         4     0     0   109    30  123.721
  14 MARTINSBURG, WV                             2     0     0   112    57  122.850
  15 WOODGROVE                                  11     2     0   404   211  121.760
  16 RIVERDALE BAPTIST, MD                       1     0     0    14     5  121.651
  17 FREEDOM(PW)                                13     2     0   566   264  121.312
  18 CHARLOTTE LATIN, NC                         1     0     0    26    20  121.224
  19 BULLIS, MD                                  3     0     0   105    32  121.131
  20 JAMES MADISON                              10     3     0   371   180  121.019
  21 MASSAPONAX                                 11     2     0   446   185  120.814
  22 BLACKSBURG                                 13     1     0   472   196  120.167
  23 OCEAN LAKES                                13     1     0   454   164  119.698
  24 FLINT HILL                                 11     0     0   495    90  119.667
  25 LAKE TAYLOR                                13     2     0   658   300  119.537
  26 COVENANT SCHOOL                             7     0     0   394    53  119.391
  27 W.T. WOODSON                               11     2     0   388   131  119.373
  28 LANDON, MD                                  3     0     0    92    72  119.325
  29 NORTH STAFFORD                             10     3     0   490   228  119.307
  30 CENTRAL, MD                                 1     0     0    39     0  119.255
  31 HERITAGE(LYN)                              14     1     0   547   332  119.227
  32 LORD BOTETOURT                             11     3     0   594   267  118.796
  33 CENTREVILLE                                 9     3     0   370   122  118.792
  34 NORTHSIDE                                  11     2     0   480   224  118.503
  35 TUSCARORA                                   8     4     0   341   199  118.050
  36 EASTERN VIEW                               13     1     0   660   175  117.881
  37 MAURY                                      12     2     0   552   241  117.877
