Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 COLONIAL BEACH                              1     0     0    67     0  162.833
   2 E.C. GLASS                                  1     0     0    58     0  153.884
   3 CONCORDIA PREP, MD                          1     0     0    57     0  151.372
   4 KING WILLIAM                                1     0     0    53     0  145.591
   5 CLARKE COUNTY                               1     0     0    42     0  137.566
   6 STEPHEN DECATUR, MD                         1     0     0    35    14  131.087
   7 BUCKINGHAM COUNTY                           1     0     0    27     6  129.605
   8 RADFORD                                     1     0     0    45    23  127.065
   9 WOODGROVE                                   2     0     0    66     6  127.000
  10 NORTH CROSS                                 2     0     0   108     7  126.914
  11 MANCHESTER                                  1     0     0    45    38  126.672
  12 NORFOLK ACADEMY                             1     0     0    40     0  126.594
  13 CHURCHLAND                                  2     0     0    94     3  125.430
  14 THOMAS DALE                                 2     0     0    86     0  124.605
  15 EDEN MOREHEAD, NC                           1     0     0    40     0  124.555
  16 HAMPTON                                     2     0     0    86     0  123.736
  17 WESTFIELD                                   2     0     0    88    14  121.780
  18 LOUISA COUNTY                               2     0     0    77    13  121.564
  19 ARCADIA                                     2     1     0   116    35  121.102
  20 WILLIAM FLEMING                             2     0     0    80    36  120.844
  21 SALEM(VB)                                   2     0     0    74    12  120.836
  22 EASTERN VIEW                                2     0     0    91     7  120.659
  23 VARINA                                      1     1     0   101    45  120.638
  24 HIGHLAND SPRINGS                            2     0     0    51    19  120.566
  25 MAURY                                       1     0     0    56     7  120.488
  26 ZEBULON B. VANCE, NC                        1     0     0    35     7  119.565
  27 SPOTSWOOD                                   2     0     0    95    25  119.111
  28 HENRICO                                     2     0     0    69    14  118.744
  29 YORKTOWN                                    1     0     0    40     0  118.743
  30 SOUTH LAKES                                 1     0     0    43     7  118.710
  31 GEORGE WYTHE(W)                             1     1     0    50    59  118.241
  32 STONE BRIDGE                                2     0     0    61    33  118.155
  33 TURNER ASHBY                                2     0     0    72    28  117.989
  34 MASSAPONAX                                  2     0     0    94    64  117.287
  35 BROAD RUN                                   2     0     0    79    39  117.189
  36 APPOMATTOX                                  1     1     0    23    27  116.905
  37 STUARTS DRAFT                               2     0     0    90     7  116.835
  38 HIDDEN VALLEY                               2     0     0    64    42  116.578
  39 ARCHBISHOP CURLEY, MD                       1     0     0    35     0  116.158
  40 ATLANTIC SHORES CHRISTIAN                   2     0     0    88    15  116.117
  41 PAGE COUNTY                                 1     0     0    46    14  115.671
  42 TRINITY EPISCOPAL                           2     0     0    50    37  115.510
  43 PULASKI COUNTY                              2     0     0    56     6  115.428
  44 ROCKBRIDGE COUNTY                           1     1     0    88    28  115.327
  45 KENT COUNTY, MD                             1     0     0    55    16  115.225
  46 STONEWALL JACKSON(M)                        1     0     0    41     7  114.821
  47 PORTSMOUTH CHRISTIAN                        2     0     0    69    14  114.818
  48 CLOVER HILL                                 1     0     0    26     7  114.709
  49 HANDLEY                                     2     0     0    79    13  114.470
  50 LURAY                                       2     0     0    70    34  114.460
  51 MAGNA VISTA                                 2     0     0    69    20  114.202
  52 SHERANDO                                    2     0     0    90    19  113.170
  53 LORD BOTETOURT                              2     0     0    38    16  112.960
